;ID;Post_URL;Img_URL;Likes;Owner;Text;Date
21;CLm0SArheC1;http://instagram.com/p/CLm0SArheC1;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/152375149_211524603992042_2177652475950721328_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=102&_nc_ohc=1_58GeFzdycAX-bRSrk&oh=e912cc9b436e6ad5a4c2ed1ebea5124b&oe=6064138F;63;4052907904;MILAN-JUVE  1993-94  WWW.FOTOGLINNI.IT  #andreaagnellifuoridaicoglioni #lungavitaagliultras ( VENDO,SCAMBIO FOTO ULTRAS JUVE,COMPRESE FOTO GRUPPI ULTRAS A TORINO,FOTO TIFOSERIE CASALINGHE CONTRO LA JUVE IN VARIE ANNATE E FOTO GIOCATORI JUVE ) #milano #stadiosansiro #serieatim #supporters #blackandwhite #sport #soccer #milan #acmilan #juventus #juventusfc #juve #finoallafine #fotoultrasjuve #ultrasjuve #nabjuve #drughi #drughijuve #drughibianconeri #vikingjuve1986 #vikingjuve #areabianconera #vecchiaguardiajuve #fightersjuve #tradizionejuventus #nucleo1985 #solojuve #forzajuve;22/02/2021 20:38
22;CLm0MdiBfzo;http://instagram.com/p/CLm0MdiBfzo;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/152406753_185143010077423_3009736044481173063_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=107&_nc_ohc=_CPtqYoUbfgAX_r97ji&oh=f72f9df1a276059e8dd412c2c9d74e56&oe=6064A46F;26;4052907904;LAZIO-JUVE  SUPERCOPPA 2013-14  WWW.FOTOGLINNI.IT  #andreaagnellifuoridaicoglioni #lungavitaagliultras ( VENDO,SCAMBIO FOTO ULTRAS JUVE,COMPRESE FOTO GRUPPI ULTRAS A TORINO,FOTO TIFOSERIE CASALINGHE CONTRO LA JUVE IN VARIE ANNATE E FOTO GIOCATORI JUVE ) #roma #stadioolimpicoroma #supercoppaitaliana #lazio #sslazio1900 #sslazio #juventus #juventusfc #juve #finoallafine #fotoultrasjuve #ultrasjuve #nabjuve #drughi #drughijuve #drughibianconeri #fans #macht #mondojuve #juventini #bianconeri #solojuve #forzajuve #finoallafineforzajuventus #forzajuventus #football #giulemanidallajuve #photography;22/02/2021 20:38
23;CLm0EVzBn0Y;http://instagram.com/p/CLm0EVzBn0Y;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/154166859_813876389195602_934463168546300308_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=110&_nc_ohc=Zsx0eePxEFAAX_R5n-w&oh=9d145a2997eac3e94b481aa9f29f5bfa&oe=6064AE89;13;4052907904;JUVE-ROMA  2007-08  WWW.FOTOGLINNI.IT  #andreaagnellifuoridaicoglioni #lungavitaagliultras ( VENDO,SCAMBIO FOTO ULTRAS JUVE,COMPRESE FOTO GRUPPI ULTRAS A TORINO,FOTO TIFOSERIE CASALINGHE CONTRO LA JUVE IN VARIE ANNATE E FOTO GIOCATORI JUVE ) #torino #stadioolimpicotorino #serieatim #supporters #blackandwhite #soccer #sport #juventus #juventusfc #juve #roma #asroma #finoallafine #curvasudscirea #curvasudjuve #curvasudjuventus #buffon #gianluigibuffon #fotoultrasjuve #ultrasjuve #drughi #drughijuve #drughibianconeri #solojuve #forzajuve #finoallafineforzajuventus #forzajuventus #football;22/02/2021 20:36
24;CLmzz33hZdX;http://instagram.com/p/CLmzz33hZdX;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/153126481_463892538158294_5486297875977807216_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=102&_nc_ohc=Qs06Fe_u1aAAX8RN9ga&oh=7f94568c1cf966340771461d6cd066ee&oe=6061AB10;22;4052907904;JUVE-ROMA  2005-06 WWW.FOTOGLINNI.IT  #andreaagnellifuoridaicoglioni #lungavitaagliultras ( VENDO,SCAMBIO FOTO ULTRAS JUVE,COMPRESE FOTO GRUPPI ULTRAS A TORINO,FOTO TIFOSERIE CASALINGHE CONTRO LA JUVE IN VARIE ANNATE E FOTO GIOCATORI JUVE ) #torino #stadiodellealpi #serieatim #supporters #blackandwhite #sport #soccer  #juventus #juventusfc #juve #roma #asroma #finoallafine #curvasudjuve #curvasudjuventus #curvasudscirea #fotoultrasjuve #ultrasjuve #drughi #drughijuve #drughibianconeri #solojuve #forzajuve #finoallafineforzajuventus #forzajuventus #football #giulemanidallajuve #fans;22/02/2021 20:34
25;CLmziFlBYu0;http://instagram.com/p/CLmziFlBYu0;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/152841970_1032678110552527_1313654866380750209_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=107&_nc_ohc=tmaZFPior38AX_aHdYn&oh=e19377c25d510d22b4b612544795ae1e&oe=6064B595;18;4052907904;JUVE-ROMA  2005-06  WWW.FOTOGLINNI.IT  #andreaagnellifuoridaicoglioni #lungavitaagliultras ( VENDO,SCAMBIO FOTO ULTRAS JUVE,COMPRESE FOTO GRUPPI ULTRAS A TORINO,FOTO TIFOSERIE CASALINGHE CONTRO LA JUVE IN VARIE ANNATE E FOTO GIOCATORI JUVE ) #torino #stadiodellealpi #serieatim #supporters #blackandwhite #sport #soccer #curvasudjuve #curvasudjuventus #curvasudscirea #juventus #juventusfc #juve #roma #asroma #finoallafine #fotoultrasjuve #ultrasjuve #drughi #drughijuve #drughibianconeri #solojuve #forzajuve #finoallafineforzajuventus #forzajuventus #football #giulemanidallajuve #photo;22/02/2021 20:32
26;CLmzXlqhQtk;http://instagram.com/p/CLmzXlqhQtk;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/152444094_181401860083964_112078174633196131_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=108&_nc_ohc=iFXDvVfAnDMAX_eA7hZ&oh=e21f80ffcc402daa662cd227731ac9d0&oe=6061A9A2;35;4052907904;JUVE-MILAN  2013-14  WWW.FOTOGLINNI.IT  #andreaagnellifuoridaicoglioni #lungavitaagliultras ( VENDO,SCAMBIO FOTO ULTRAS JUVE,COMPRESE FOTO GRUPPI ULTRAS A TORINO,FOTO TIFOSERIE CASALINGHE CONTRO LA JUVE IN VARIE ANNATE E FOTO GIOCATORI JUVE ) #torino #allianzstadium #serieatim #supporters #blackandwhite #soccer #sport #juventus #juventusfc #juve #milan #acmilan #finoallafine #curvasudscirea #curvasudjuve #curvasudjuventus #fotoultrasjuve #ultrasjuve #drughi #drughijuve #drughibianconeri #solojuve #forzajuve #finoallafineforzajuventus #forzajuventus #football #giulemanidallajuve #soccerphotography;22/02/2021 20:30
27;CLmzSPeBgcs;http://instagram.com/p/CLmzSPeBgcs;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/152570547_420147302383420_6089998139105239748_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=104&_nc_ohc=5V72Ffa2qKUAX8cqGah&oh=524f3ac711b69d2790c4fbbdd45bbf8a&oe=60657D76;24;4052907904;JUVE-ATLETICO MADRID  C.LEAGUE  2014-15  WWW.FOTOGLINNI.IT  #andreaagnellifuoridaicoglioni #lungavitaagliultras ( VENDO,SCAMBIO FOTO ULTRAS JUVE,COMPRESE FOTO GRUPPI ULTRAS A TORINO,FOTO TIFOSERIE CASALINGHE CONTRO LA JUVE IN VARIE ANNATE E FOTO GIOCATORI JUVE ) #torino #allianzstadium #championsleague #supporters #blackandwhite #soccer #sport #juventus #juventusfc #juve #atléticomadrid #atleticomadrid #finoallafine #curvasudscirea #curvasudjuve #curvasudjuventus #fotoultrasjuve #ultrasjuve #tradizionejuventus #fightersjuve #drughi #drughijuve #drughibianconeri #solojuve #forzajuve #finoallafineforzajuventus #forzajuventus #fans;22/02/2021 20:30
28;CLmzE2_BhGo;http://instagram.com/p/CLmzE2_BhGo;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/152385077_456413708737060_8849800007222140223_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=104&_nc_ohc=Otwa5fJ2A_oAX8mXDso&oh=032ef600d8d1233ba8b9c9fae21e981a&oe=606507E2;14;4052907904;FIORENTINA-JUVE  C.ITALIA  2014-15  WWW.FOTOGLINNI.IT  #andreaagnellifuoridaicoglioni #lungavitaagliultras ( VENDO,SCAMBIO FOTO ULTRAS JUVE,COMPRESE FOTO GRUPPI ULTRAS A TORINO,FOTO TIFOSERIE CASALINGHE CONTRO LA JUVE IN VARIE ANNATE E FOTO GIOCATORI JUVE ) #coppaitalia #timcup #supporters #blackandwhite #sport #soccer #florence #firenze #fiorentina #acfiorentina #juventus #juventusfc #juve #finoallafine #fotoultrasjuve #ultrasjuve #gm93 #nucleo1985 #fightersjuve #tradizionejuventus #drughi #drughijuve #drughibianconeri #solojuve #forzajuve #finoallafineforzajuventus #forzajuventus #football;22/02/2021 20:28
29;CLmPG6frg-p;http://instagram.com/p/CLmPG6frg-p;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/152629644_931430114293387_549115683667511700_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=107&_nc_ohc=G2WK1UeRuTsAX-ZHvZh&oh=463d938db0739cf45698047c4ffb10ff&oe=606245CC;140;5736983810;Questa sera l'obiettivo non è vincere, ma STRA-VINCERE!⚪⚫ Fino Alla Fine!⚪⚫ @juventus . . . #juventus #Juventusstory #jstory #remember #oldphoto #oldjuve #nostalgy #delpiero #adp10 #sport #calcio #fotball #nedved #love #a #seriea #championsleague #futbol #juve #drughi #bianconeri #blackandwhite #finoallafine #forzajuve #forzajuventus #Mandzukic #MarioMandzukic;22/02/2021 15:13
30;CLmJj8VDufh;http://instagram.com/p/CLmJj8VDufh;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/153206796_1493946744280422_1820036986459224782_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=106&_nc_ohc=q1SPCjPB5fIAX99lmfr&oh=bbe69eed9804ad51152bbab32f38fff7&oe=606320CC;22;9127843696;•Fototifo• 2004/05 Inter -Juve #drughi #drughiultracurvasud #drughibianconeri #drughijuve #drughijuventus #curvasudjuve #curvasudjuventus #drughiultràcurvasud;22/02/2021 14:25
